"private_rank","name","url","members_visible","members_numeric","activity_visible","account_status","posting_note","priority_note","source"
"21","Grown Ash Cigar Society Inc. Group","https://www.facebook.com/groups/331644694013414/","13K","13000","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"22","Cigar Cartel BACK UP PAGE!","https://www.facebook.com/groups/1053452488034171/","10K","10000","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"23","Cigars International group","https://www.facebook.com/groups/940883949778712/","10K","10000","5 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"24","Cigar lounge International","https://www.facebook.com/groups/563068358277564/","9.2K","9200","8 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"25","The Humidor Hobbyist","https://www.facebook.com/groups/1841156136068010/","9.2K","9200","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"26","Cigar Lounge UK","https://www.facebook.com/groups/169135271001293/","8.6K","8600","20+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"27","Arturo Fuente Cigars","https://www.facebook.com/groups/ArturoFuenteCigars/","8.2K","8200","8 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"28","Cigar Smokers of America!","https://www.facebook.com/groups/24250378265/","7.7K","7700","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"29","Cigar Deal Hunters - The biggest cigar deals community","https://www.facebook.com/groups/cigardeals/","7K","7000","3 posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","large but commercial/sales surface; review before joining","original-cigar-search"
"30","PizzaCigarNation","https://www.facebook.com/groups/pizzamike1/","6.7K","6700","20+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"31","Cigars & Red Lips","https://www.facebook.com/groups/Cigarsandredlips/","6.7K","6700","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"32","The Cigar Bruhs","https://www.facebook.com/groups/thecigarbruhs/","6.4K","6400","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"33","Black Cigar Aficionados","https://www.facebook.com/groups/436305820330641/","5.8K","5800","8 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"34","Light 'Em Up Cigar Club","https://www.facebook.com/groups/690661731319298/","5.4K","5400","20+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"35","International Cigar Tribe 💨💨💨","https://www.facebook.com/groups/internationalcigartribe/","5.2K","5200","25 unread posts","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"36","Soul Brothers Cigars","https://www.facebook.com/groups/970781896717146/","5K","5000","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"37","WoMen Whiskey&Cigars","https://www.facebook.com/groups/347587179609002/","4.9K","4900","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"38","Cigar Rollers","https://www.facebook.com/groups/320006975065137/","4.8K","4800","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"39","Stogie Life Presents The Cigar Syndicate","https://www.facebook.com/groups/1584448251824760/","4.8K","4800","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"40","Republic of Texas Cigar Smokers","https://www.facebook.com/groups/720848501366319/","4.8K","4800","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"41","Cigar Circus: Behind the Curtains","https://www.facebook.com/groups/cigarcircus/","4.7K","4700","6 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"42","BROWN LEAF CIGAR LLC","https://www.facebook.com/groups/329612904473465/","4.1K","4100","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"43","Cigar Smokers of Michigan","https://www.facebook.com/groups/cigarsmokersofmichigan/","4K","4000","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"44","Guns N Cigars cigar lovers society","https://www.facebook.com/groups/671002090769103/","3.9K","3900","20+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"45","The Cigar Society","https://www.facebook.com/groups/1371918820065663/","3.2K","3200","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"46","Iconic Cigar Bros","https://www.facebook.com/groups/196826201563450/","3.1K","3100","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"47","Cigar World","https://www.facebook.com/groups/194367450307936/","3.1K","3100","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"48","Nicaragua Cigar Club","https://www.facebook.com/groups/739133260138846/","2.8K","2800","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"49","Fifty Shades of Smoke","https://www.facebook.com/groups/409664169214851/","2.8K","2800","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"50","CIGAR RANDOMLY TALKING","https://www.facebook.com/groups/727296831207078/","2.8K","2800","7 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"51","Padron Cigars","https://www.facebook.com/groups/PadronCigars/","2.7K","2700","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"52","Big Leaf Smokers","https://www.facebook.com/groups/997460328050308/","2.6K","2600","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"53","New England Cigar","https://www.facebook.com/groups/newenglandcm/","2.4K","2400","20+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"54","Cigar, Sounds & Spirits","https://www.facebook.com/groups/2311885332222456/","2.4K","2400","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"55","PC Cigar Society","https://www.facebook.com/groups/1303700383468196/","2.3K","2300","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"56","Cigar Crew 405, LLC","https://www.facebook.com/groups/1406020069486527/","2.2K","2200","10 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"57","CIGAR XIME","https://www.facebook.com/groups/1668592553188897/","2.2K","2200","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"58","Cigar Click Houston","https://www.facebook.com/groups/263043300554111/","2.2K","2200","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"59","Miami Cigar Club","https://www.facebook.com/groups/miamicigarclub/","2.2K","2200","7 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"60","PACC (PA Cigar Club)","https://www.facebook.com/groups/4450547114960733/","2.1K","2100","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"61","Cigar Weekly","https://www.facebook.com/groups/29141914301/","2.1K","2100","6 posts a day","not_member_join_visible","event_or_local_context_recheck_fit","large private join target; request membership if approved","original-cigar-search"
"62","1689 Cigar Club","https://www.facebook.com/groups/1689cigarclub/","2.1K","2100","10 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"63","Cigar Deals and Steals (Updated Daily) Cigarfinder.com","https://www.facebook.com/groups/1195556672018890/","2.1K","2100","2 posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","large but commercial/sales surface; review before joining","original-cigar-search"
"64","Cigar Smokers 💨💨🥂","https://www.facebook.com/groups/999242180452917/","2K","2000","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"65","Cigars | Cinema | Whiskey","https://www.facebook.com/groups/249234097505592/","2K","2000","20+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"66","Cigar Nation","https://www.facebook.com/groups/3948862001866249/","1.9K","1900","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"67","Tatuaje Saints N Sinners Cigar Club","https://www.facebook.com/groups/200617627220872/","1.8K","1800","5 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"68","Cigars and Tits","https://www.facebook.com/groups/309542176794915/","1.8K","1800","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"69","RUCKER CIGAR LOUNGE","https://www.facebook.com/groups/2105877039701606/","1.8K","1800","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"70","Asylum 13 Cigar Smokers","https://www.facebook.com/groups/1830594370567665/","1.7K","1700","3 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"71","Small Batch Cigar Group","https://www.facebook.com/groups/736043959911403/","1.7K","1700","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"72","Arizona Cigar Enthusiasts (ACE)","https://www.facebook.com/groups/995176647278322/","1.6K","1600","Member since January 2019 4 friends are members Visit","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
"73","Neptune Cigar Superstore Group","https://www.facebook.com/groups/1213574815438009/","1.6K","1600","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"74","DIVINE LEAF LLC Cigars and Bourbons","https://www.facebook.com/groups/373043077998264/","1.6K","1600","7 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"75","Sin City Cigar Society","https://www.facebook.com/groups/2090112637892108/","1.5K","1500","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"76","Konscious Cigars","https://www.facebook.com/groups/884341202122647/","1.4K","1400","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"77","Colorado Cigar Aficionados","https://www.facebook.com/groups/ColoradoCigarAficionados/","1.4K","1400","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"78","The 405 cigar family, LLC","https://www.facebook.com/groups/2435087820110788/","1.4K","1400","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"79","CIGAR LOVERS OF ALBERTA","https://www.facebook.com/groups/890580001031734/","1.2K","1200","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"80","Whit's Sticks Cigar and Pipe Group","https://www.facebook.com/groups/230772098560562/","1.2K","1200","5 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"81","My Father Cigars","https://www.facebook.com/groups/905898769473309/","1.2K","1200","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"82","Cars & Cigars HTX","https://www.facebook.com/groups/293807839746693/","1.2K","1200","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"83","Cigar Nvy","https://www.facebook.com/groups/571405346924149/","1.1K","1100","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"84","The Cigar Advocate's","https://www.facebook.com/groups/169274820086547/","1K","1000","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"85","The Cigar Room llc Social Lounge","https://www.facebook.com/groups/940790577009995/","1K","1000","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"86","Arizona Cigar Smokers","https://www.facebook.com/groups/58535031490/","1K","1000","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"87","Bangkok Cigar Society","https://www.facebook.com/groups/1848114285416732/","1K","1000","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"88","Cigar Pit","https://www.facebook.com/groups/1161505547753185/","1K","1000","8 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"89","Friends Who Like The Cigar Authority","https://www.facebook.com/groups/friendsofthecigarauthority/","1K","1000","20 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"90","Blaze One For The Nation Cigar Club","https://www.facebook.com/groups/535386406888570/","912","912","5 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"91","Official CHI CIGAR MOB","https://www.facebook.com/groups/378766819429523/","816","816","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"92","SMOKE SOLDJAS CIGAR GROUP IL/CO","https://www.facebook.com/groups/1346809569038460/","806","806","2 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"93","Arizona Cigar Aficionados","https://www.facebook.com/groups/arizonacigaraficionados/","765","765","6 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"94","Cigar Mobile Lounge Assoc.","https://www.facebook.com/groups/cigarmobileloungeentrepreneurs/","756","756","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"95","Hollow Down Cigar Lounge","https://www.facebook.com/groups/thehollowdown/","737","737","9 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"96","We Love Cigars 🍃🔥💨😶‍🌫️","https://www.facebook.com/groups/451271577795484/","722","722","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"97","The Bourbon Whisky and Cigars page","https://www.facebook.com/groups/1169458394011678/","694","694","5 posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","large but commercial/sales surface; review before joining","original-cigar-search"
"98","Cigar Gents Collective","https://www.facebook.com/groups/902106334605484/","682","682","5 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"99","Tabacco G Stix's Cigar Fanatics","https://www.facebook.com/groups/1277814426629595/","672","672","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"100","OGT Cigar Society","https://www.facebook.com/groups/602560327377484/","650","650","6 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"101","DA ASH-HOLEZ TRIBE Brothers of the Leaf Cigar Club","https://www.facebook.com/groups/1613012315553043/","633","633","3 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"102","Cigar Monkeys","https://www.facebook.com/groups/cigarmonkeys/","598","598","30+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"103","PNW Cigar Smokers","https://www.facebook.com/groups/698861727956445/","593","593","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"104","Cigar Pulpit Parishioners","https://www.facebook.com/groups/508432336794381/","579","579","6 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"105","Trevor's Cigar Club","https://www.facebook.com/groups/tcigars/","574","574","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"106","Royal Caribbean Fans of Cigars Under the Stars","https://www.facebook.com/groups/1175776163922321/","504","504","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"107","Vancouver Cigar Society","https://www.facebook.com/groups/877075903666846/","361","361","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"108","Smokin_Gunz (Cigar Group)","https://www.facebook.com/groups/494512751613280/","326","326","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"109","Valhalla rising cigars","https://www.facebook.com/groups/706691482366399/","314","314","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"110","Cigar Swap","https://www.facebook.com/groups/25760227243627842/","266","266","6 posts a day","not_member_join_visible","commercial_or_sales_surface_skip_for_video","large but commercial/sales surface; review before joining","original-cigar-search"
"111","Cigar Hoodlums","https://www.facebook.com/groups/723474762269691/","228","228","10 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"112","Cigar Shack","https://www.facebook.com/groups/1154515343418745/","202","202","10+ posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"113","THE VAULT CIGAR SMOKERS EXCHANGE","https://www.facebook.com/groups/thevaultcigars/","193","193","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"114","Cigar Lovers Club - NW Indiana","https://www.facebook.com/groups/cigarloversnwi/","181","181","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"115","Snob-Free Cigar Smokers","https://www.facebook.com/groups/1922760215051290/","107","107","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"116","TIGERSDEN…Everything About Cigars","https://www.facebook.com/groups/455797543175909/","97","97","10 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"117","Lampert Cigars","https://www.facebook.com/groups/lampertcigars/","93","93","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"118","Veterans & Cigar's","https://www.facebook.com/groups/veteransncigars/","67","67","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"119","Cigar Army","https://www.facebook.com/groups/664336302512528/","53","53","4 posts a day","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","original-cigar-search"
"120","Cigar Aficionados Of Nigeria (CANON)","https://www.facebook.com/groups/2065833640660580/","29","29","","not_member_join_visible","rules_unchecked","large private join target; request membership if approved","extra-private-search"
"121","Yuzu Cigar Club Lounge | 21+","https://www.facebook.com/groups/1702820237822858/","1","1","Member since June 2026 Visit","already_member","already_member_recheck_rules_before_posting","already member; rule-check before posting","original-cigar-search"
